strengthDefinition,target,quintile,signalCount,reachedCount,hitRatePct,strengthMin,strengthMedian,strengthMax,timeMeanMinutes,timeMedianMinutes,timeP75Minutes,timeP80Minutes,timeP90Minutes,deadline60mHitRatePct,deadline120mHitRatePct,deadline360mHitRatePct,deadline720mHitRatePct,deadline1440mHitRatePct,deadline2160mHitRatePct,deadline2880mHitRatePct
slopeExcess,2pct,4,23151,15659,67.6385469310181,-0.00007307540695821656,-0.00004559389978196981,-0.0000019412314007520625,751.405006705409,457,1109.5,1368.4000000000015,2018,4.639108461837502,10.543821001252645,28.94043453846486,43.16444214072826,55.06025657638979,62.312643082372254,67.6385469310181
slopeExcess,4pct,4,23151,10748,46.42564036110751,-0.00007307540695821656,-0.00004559389978196981,-0.0000019412314007520625,1076.6638444361743,881,1636,1859,2293,0.6738369832836595,2.3886657163837413,10.228499848818625,19.208673491425856,32.3614530689819,40.38702431860395,46.42564036110751
slopeExcess,1pct,5,23150,20430,88.25053995680345,-0.000001931641777796778,0.00008575173954296015,0.012586380626374032,271.82447381302006,73,256,352,708,40.75593952483801,52.95032397408207,70.84665226781858,79.60691144708424,84.02159827213823,86.21166306695464,88.25053995680345
slopeExcess,2pct,5,23150,17496,75.57667386609072,-0.000001931641777796778,0.00008575173954296015,0.012586380626374032,553.3188728852309,277,696,861,1622,13.563714902807774,22.742980561555076,42.88984881209503,57.442764578833696,66.67386609071274,71.377969762419,75.57667386609072
slopeExcess,4pct,5,23150,13115,56.65226781857451,-0.000001931641777796778,0.00008575173954296015,0.012586380626374032,890.2650400304994,658,1342,1538,2130,2.4233261339092875,5.766738660907127,17.23110151187905,30.617710583153347,43.74082073434125,51.32613390928725,56.65226781857451
combinedStrength,1pct,1,23151,13810,59.651850891970106,5.091725243251042e-8,0.000022146765475384076,0.00004001169235999664,1040.4041998551775,874,1650,1861,2252,2.2288454062459504,4.798928771975293,15.36866658027731,25.566930154205004,41.687184138914084,52.464256403611074,59.651850891970106
combinedStrength,2pct,1,23151,8742,37.7607878709343,5.091725243251042e-8,0.000022146765475384076,0.00004001169235999664,1321.0105239075726,1208.5,2049,2233,2476.9000000000005,0.4189883806315062,1.1273811066476611,5.688739147337048,11.33860308410004,21.251781780484645,29.56243790764978,37.7607878709343
combinedStrength,4pct,1,23151,4360,18.83287978920997,5.091725243251042e-8,0.000022146765475384076,0.00004001169235999664,1485.0738532110092,1485,2143,2279,2577,0.0647920176234288,0.23325126344434366,1.4858969374973003,3.814090104099175,9.139993952745023,14.24560494147121,18.83287978920997
combinedStrength,1pct,2,23151,16542,71.45263703511728,0.00004001423851016781,0.00005977127688784081,0.00008412193053862271,677.7905331882481,421,1007.75,1184,1746,6.392812405511641,13.29964148416915,32.780441449613406,47.13403308712367,61.0599974083193,67.51760183145437,71.45263703511728
combinedStrength,2pct,2,23151,12384,53.49228974990281,0.00004001423851016781,0.00005977127688784081,0.00008412193053862271,1044.1132105943152,854,1632,1795,2283,1.1662563172217182,3.4685326767742213,13.468100729990065,24.093991620232387,37.50161980044059,46.62433588181936,53.49228974990281
combinedStrength,4pct,2,23151,7556,32.63789901084186,0.00004001423851016781,0.00005977127688784081,0.00008412193053862271,1322.7952620434091,1251,1963.25,2151,2497,0.16413977797935295,0.6349617727096022,3.9609520107122806,9.710163707831196,18.5909895900825,26.17597511986523,32.63789901084186
combinedStrength,1pct,3,23150,18291,79.01079913606911,0.00008412273457685901,0.00011360203665313342,0.000151085113150717,514.1067191514953,241,636,818,1543,13.131749460043196,23.840172786177106,48.6133909287257,61.54211663066954,70.32829373650108,75.68466522678186,79.01079913606911
combinedStrength,2pct,3,23150,14316,61.840172786177106,0.00008412273457685901,0.00011360203665313342,0.000151085113150717,882.7429449566918,600,1370,1603,2161,2.4406047516198703,6.323974082073434,21.645788336933045,34.39308855291577,47.41252699784017,55.650107991360684,61.840172786177106
combinedStrength,4pct,3,23150,9138,39.47300215982722,0.00008412273457685901,0.00011360203665313342,0.000151085113150717,1192.2514773473408,1048,1800,1998.6000000000004,2436.300000000001,0.36285097192224625,1.2915766738660908,6.777537796976242,13.732181425485962,25.50323974082073,33.170626349892004,39.47300215982722
combinedStrength,1pct,4,23151,19635,84.8127510690683,0.00015108542140938866,0.00020187461093475978,0.00027738853956514847,394.40560224089637,155,426,577,1195.6000000000022,22.603775214893528,36.88825536693879,60.852662951924316,71.6988467020863,78.02686708997452,81.9532633579543,84.8127510690683
combinedStrength,2pct,4,23151,16041,69.28858364649474,0.00015108542140938866,0.00020187461093475978,0.00027738853956514847,738.6626768904682,444,1072,1331,2023,4.552719105006263,10.902336832102286,29.95119001339035,45.11684160511425,56.93490561962766,63.759664809295494,69.28858364649474
combinedStrength,4pct,4,23151,11345,49.00436266251998,0.00015108542140938866,0.00020187461093475978,0.00027738853956514847,1082.1216394887615,880,1653,1870,2295.6000000000004,0.8293378255798887,2.5398470908384088,10.513584726361712,20.197831627143536,34.037406591507924,42.430132607662735,49.00436266251998
combinedStrength,1pct,5,23150,20547,88.75593952483801,0.0002773891130515896,0.0004182587666477434,0.015591780347063725,245.85642672896287,62,217,313,651,44.09935205183586,56.112311015118784,72.77753779697625,81.03671706263499,85.1231101511879,86.98920086393088,88.75593952483801
combinedStrength,2pct,5,23150,17628,76.14686825053995,0.0002773891130515896,0.0004182587666477434,0.015591780347063725,506.9587020648967,244,645,770.6000000000004,1435.300000000001,14.920086393088553,24.764578833693303,45.65442764578834,59.73650107991361,68.5658747300216,72.60043196544277,76.14686825053995
